learning_iteration;percentage_human_survival;percentage_zombies_killed
1;20;0
2;60;0
3;40;0
4;60;0
5;40;0
6;20;15,789473684210526
7;0;0
8;80;6,25
9;40;5,555555555555555
10;80;0
11;80;6,25
12;100;20
13;40;0
14;0;0
15;80;0
16;40;0
17;80;6,25
18;40;0
19;20;0
20;80;0
21;0;0
22;40;0
23;20;10,526315789473683
24;80;0
25;0;0
26;60;0
27;100;13,333333333333334
28;100;33,33333333333333
29;100;0
30;80;31,25
